comm_cost,cost_mode,n_clients,max_iter,Complete_Occurrences,Lottery_Occurrences,source_file,n_trials,nash_rate,lottery_rate
0.0,fixed,80,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_80_maxdepth_100.csv,100,1.0,1.0
0.0,fixed,90,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_90_maxdepth_100.csv,100,1.0,1.0
0.0,fixed,100,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_100_maxdepth_100.csv,100,1.0,1.0
0.0,fixed,70,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_70_maxdepth_100.csv,100,1.0,1.0
0.0,fixed,20,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_20_maxdepth_100.csv,100,1.0,1.0
0.0,fixed,60,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_60_maxdepth_100.csv,100,1.0,1.0
0.0,fixed,30,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_30_maxdepth_100.csv,100,1.0,1.0
0.0,fixed,50,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_50_maxdepth_100.csv,100,1.0,1.0
0.0,fixed,40,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_40_maxdepth_100.csv,100,1.0,1.0
0.0,fixed,10,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_10_maxdepth_100.csv,100,1.0,1.0
0.01,fixed,50,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_50_maxdepth_100.csv,100,1.0,1.0
0.01,fixed,10,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_10_maxdepth_100.csv,100,1.0,1.0
0.01,fixed,40,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_40_maxdepth_100.csv,100,1.0,1.0
0.01,fixed,20,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_20_maxdepth_100.csv,100,1.0,1.0
0.01,fixed,70,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_70_maxdepth_100.csv,100,1.0,1.0
0.01,fixed,30,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_30_maxdepth_100.csv,100,1.0,1.0
0.01,fixed,60,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_60_maxdepth_100.csv,100,1.0,1.0
