comm_cost,cost_mode,n_clients,max_depth,Complete_Occurrences,Lottery_Occurrences,source_file,n_trials,nash_rate,lottery_rate
0.0,fixed,30,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_30_maxiter_100.csv,100,1.0,1.0
0.0,fixed,80,100,100,99,Nash_Counts_fedfor_cc_0.0_nclients_80_maxiter_100.csv,100,1.0,0.99
0.0,fixed,70,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_70_maxiter_100.csv,100,1.0,1.0
0.0,fixed,20,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_20_maxiter_100.csv,100,1.0,1.0
0.0,fixed,90,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_90_maxiter_100.csv,100,1.0,1.0
0.0,fixed,60,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_60_maxiter_100.csv,100,1.0,1.0
0.0,fixed,10,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_10_maxiter_100.csv,100,1.0,1.0
0.0,fixed,50,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_50_maxiter_100.csv,100,1.0,1.0
0.0,fixed,100,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_100_maxiter_100.csv,100,1.0,1.0
0.0,fixed,40,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_40_maxiter_100.csv,100,1.0,1.0
0.01,fixed,60,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_60_maxiter_100.csv,100,1.0,1.0
0.01,fixed,90,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_90_maxiter_100.csv,100,1.0,1.0
0.01,fixed,20,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_20_maxiter_100.csv,100,1.0,1.0
0.01,fixed,70,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_70_maxiter_100.csv,100,1.0,1.0
0.01,fixed,80,100,100,99,Nash_Counts_fedfor_cc_0.01_nclients_80_maxiter_100.csv,100,1.0,0.99
0.01,fixed,100,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_100_maxiter_100.csv,100,1.0,1.0
0.01,fixed,30,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_30_maxiter_100.csv,100,1.0,1.0
0.01,fixed,40,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_40_maxiter_100.csv,100,1.0,1.0
0.01,fixed,50,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_50_maxiter_100.csv,100,1.0,1.0
0.01,fixed,10,100,100,98,Nash_Counts_fedfor_cc_0.01_nclients_10_maxiter_100.csv,100,1.0,0.98
0.02,fixed,10,100,100,97,Nash_Counts_fedfor_cc_0.02_nclients_10_maxiter_100.csv,100,1.0,0.97
0.02,fixed,50,100,100,100,Nash_Counts_fedfor_cc_0.02_nclients_50_maxiter_100.csv,100,1.0,1.0
0.02,fixed,100,100,100,99,Nash_Counts_fedfor_cc_0.02_nclients_100_maxiter_100.csv,100,1.0,0.99
0.02,fixed,40,100,100,99,Nash_Counts_fedfor_cc_0.02_nclients_40_maxiter_100.csv,100,1.0,0.99
0.02,fixed,30,100,100,100,Nash_Counts_fedfor_cc_0.02_nclients_30_maxiter_100.csv,100,1.0,1.0
0.02,fixed,80,100,100,98,Nash_Counts_fedfor_cc_0.02_nclients_80_maxiter_100.csv,100,1.0,0.98
0.02,fixed,70,100,100,100,Nash_Counts_fedfor_cc_0.02_nclients_70_maxiter_100.csv,100,1.0,1.0
0.02,fixed,20,100,100,99,Nash_Counts_fedfor_cc_0.02_nclients_20_maxiter_100.csv,100,1.0,0.99
0.02,fixed,90,100,100,100,Nash_Counts_fedfor_cc_0.02_nclients_90_maxiter_100.csv,100,1.0,1.0
0.02,fixed,60,100,100,99,Nash_Counts_fedfor_cc_0.02_nclients_60_maxiter_100.csv,100,1.0,0.99
0.05,fixed,70,100,99,97,Nash_Counts_fedfor_cc_0.05_nclients_70_maxiter_100.csv,100,0.99,0.97
0.05,fixed,80,100,97,96,Nash_Counts_fedfor_cc_0.05_nclients_80_maxiter_100.csv,100,0.97,0.96
0.05,fixed,30,100,100,94,Nash_Counts_fedfor_cc_0.05_nclients_30_maxiter_100.csv,100,1.0,0.94
0.05,fixed,60,100,100,97,Nash_Counts_fedfor_cc_0.05_nclients_60_maxiter_100.csv,100,1.0,0.97
0.05,fixed,90,100,98,98,Nash_Counts_fedfor_cc_0.05_nclients_90_maxiter_100.csv,100,0.98,0.98
0.05,fixed,20,100,100,93,Nash_Counts_fedfor_cc_0.05_nclients_20_maxiter_100.csv,100,1.0,0.93
0.05,fixed,50,100,100,99,Nash_Counts_fedfor_cc_0.05_nclients_50_maxiter_100.csv,100,1.0,0.99
0.05,fixed,10,100,100,82,Nash_Counts_fedfor_cc_0.05_nclients_10_maxiter_100.csv,100,1.0,0.82
0.05,fixed,100,100,98,96,Nash_Counts_fedfor_cc_0.05_nclients_100_maxiter_100.csv,100,0.98,0.96
0.05,fixed,40,100,100,99,Nash_Counts_fedfor_cc_0.05_nclients_40_maxiter_100.csv,100,1.0,0.99
0.08,fixed,50,100,95,93,Nash_Counts_fedfor_cc_0.08_nclients_50_maxiter_100.csv,100,0.95,0.93
0.08,fixed,10,100,96,35,Nash_Counts_fedfor_cc_0.08_nclients_10_maxiter_100.csv,100,0.96,0.35
0.08,fixed,40,100,97,91,Nash_Counts_fedfor_cc_0.08_nclients_40_maxiter_100.csv,100,0.97,0.91
0.08,fixed,70,100,87,95,Nash_Counts_fedfor_cc_0.08_nclients_70_maxiter_100.csv,100,0.87,0.95
0.08,fixed,30,100,98,85,Nash_Counts_fedfor_cc_0.08_nclients_30_maxiter_100.csv,100,0.98,0.85
0.08,fixed,80,100,71,89,Nash_Counts_fedfor_cc_0.08_nclients_80_maxiter_100.csv,100,0.71,0.89
0.08,fixed,60,100,90,89,Nash_Counts_fedfor_cc_0.08_nclients_60_maxiter_100.csv,100,0.9,0.89
0.08,fixed,20,100,99,76,Nash_Counts_fedfor_cc_0.08_nclients_20_maxiter_100.csv,100,0.99,0.76
0.08,fixed,100,100,68,93,Nash_Counts_fedfor_cc_0.08_nclients_100_maxiter_100.csv,100,0.68,0.93
0.08,fixed,90,100,64,91,Nash_Counts_fedfor_cc_0.08_nclients_90_maxiter_100.csv,100,0.64,0.91
0.12,fixed,100,100,1,75,Nash_Counts_fedfor_cc_0.12_nclients_100_maxiter_100.csv,100,0.01,0.75
0.12,fixed,60,100,20,62,Nash_Counts_fedfor_cc_0.12_nclients_60_maxiter_100.csv,100,0.2,0.62
0.12,fixed,20,100,57,23,Nash_Counts_fedfor_cc_0.12_nclients_20_maxiter_100.csv,100,0.57,0.23
0.12,fixed,90,100,1,71,Nash_Counts_fedfor_cc_0.12_nclients_90_maxiter_100.csv,100,0.01,0.71
0.12,fixed,70,100,12,64,Nash_Counts_fedfor_cc_0.12_nclients_70_maxiter_100.csv,100,0.12,0.64
0.12,fixed,30,100,49,48,Nash_Counts_fedfor_cc_0.12_nclients_30_maxiter_100.csv,100,0.49,0.48
0.12,fixed,80,100,6,68,Nash_Counts_fedfor_cc_0.12_nclients_80_maxiter_100.csv,100,0.06,0.68
0.12,fixed,40,100,49,59,Nash_Counts_fedfor_cc_0.12_nclients_40_maxiter_100.csv,100,0.49,0.59
0.12,fixed,50,100,16,52,Nash_Counts_fedfor_cc_0.12_nclients_50_maxiter_100.csv,100,0.16,0.52
0.12,fixed,10,100,7,0,Nash_Counts_fedfor_cc_0.12_nclients_10_maxiter_100.csv,100,0.07,0.0
