comm_cost,cost_mode,n_clients,max_iter,trial,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.05,fixed,10,100,1,0.6311628118930905,0.5811628118930905,0.6178947368421053,0.5678947368421052
0.05,fixed,10,100,2,0.6602242039810722,0.6102242039810721,0.6578947368421053,0.6078947368421053
0.05,fixed,10,100,3,0.6603143475992674,0.6103143475992674,0.6578947368421053,0.6078947368421053
0.05,fixed,10,100,4,0.6530640010161601,0.6030640010161601,0.6642105263157895,0.6142105263157894
0.05,fixed,10,100,5,0.6355391493256831,0.5855391493256831,0.6294736842105263,0.5794736842105263
0.05,fixed,10,100,6,0.6500807301573347,0.6000807301573347,0.6578947368421053,0.6078947368421053
0.05,fixed,10,100,7,0.6710585841879236,0.6210585841879236,0.6736842105263158,0.6236842105263157
0.05,fixed,10,100,8,0.6421029599288846,0.5921029599288845,0.6663157894736842,0.6163157894736842
0.05,fixed,10,100,9,0.6692999587827934,0.6192999587827933,0.6642105263157895,0.6142105263157894
0.05,fixed,10,100,10,0.6397931647937407,0.5897931647937407,0.64,0.59
0.05,fixed,10,100,11,0.6534719714707928,0.6034719714707928,0.6589473684210526,0.6089473684210526
0.05,fixed,10,100,12,0.6627135031525612,0.6127135031525611,0.6442105263157895,0.5942105263157894
0.05,fixed,10,100,13,0.6611751060044584,0.6111751060044583,0.6557894736842105,0.6057894736842104
0.05,fixed,10,100,14,0.6372226734293165,0.5872226734293164,0.6389473684210526,0.5889473684210526
0.05,fixed,10,100,15,0.6172288978584062,0.5672288978584061,0.6431578947368422,0.5931578947368421
0.05,fixed,10,100,16,0.6770028004774876,0.6270028004774876,0.6663157894736842,0.6163157894736842
0.05,fixed,10,100,17,0.662175691222648,0.6121756912226479,0.6568421052631579,0.6068421052631578
0.05,fixed,10,100,18,0.6559481005890335,0.6059481005890335,0.6452631578947369,0.5952631578947368
0.05,fixed,10,100,19,0.6661871779803118,0.6161871779803118,0.6589473684210526,0.6089473684210526
0.05,fixed,10,100,20,0.6551903543166078,0.6051903543166077,0.651578947368421,0.601578947368421
0.05,fixed,10,100,21,0.677885208616254,0.627885208616254,0.6821052631578948,0.6321052631578947
0.05,fixed,10,100,22,0.6515673159469534,0.6015673159469533,0.6663157894736842,0.6163157894736842
0.05,fixed,10,100,23,0.6613964647537207,0.6113964647537207,0.6589473684210526,0.6089473684210526
0.05,fixed,10,100,24,0.6616232665514273,0.6116232665514273,0.6652631578947369,0.6152631578947368
0.05,fixed,10,100,25,0.6406970343728005,0.5906970343728004,0.6484210526315789,0.5984210526315789
0.05,fixed,10,100,26,0.6587467082027555,0.6087467082027554,0.6663157894736842,0.6163157894736842
0.05,fixed,10,100,27,0.6455214744921972,0.5955214744921972,0.6547368421052632,0.6047368421052631
0.05,fixed,10,100,28,0.6536531920782034,0.6036531920782033,0.6452631578947369,0.5952631578947368
0.05,fixed,10,100,29,0.656143877108878,0.606143877108878,0.6631578947368421,0.613157894736842
0.05,fixed,10,100,30,0.664444194708244,0.614444194708244,0.6505263157894737,0.6005263157894737
0.05,fixed,10,100,31,0.6525384030239891,0.6025384030239891,0.6568421052631579,0.6068421052631578
0.05,fixed,10,100,32,0.6190306801381649,0.5690306801381648,0.651578947368421,0.601578947368421
0.05,fixed,10,100,33,0.6587147323717168,0.6087147323717168,0.651578947368421,0.601578947368421
0.05,fixed,10,100,34,0.6680247763327203,0.6180247763327202,0.6663157894736842,0.6163157894736842
0.05,fixed,10,100,35,0.655633639989882,0.605633639989882,0.6463157894736842,0.5963157894736841
0.05,fixed,10,100,36,0.6650228464359657,0.6150228464359656,0.6684210526315789,0.6184210526315789
0.05,fixed,10,100,37,0.6607204189445745,0.6107204189445744,0.6547368421052632,0.6047368421052631
0.05,fixed,10,100,38,0.6884674416976939,0.6384674416976939,0.6863157894736842,0.6363157894736842
0.05,fixed,10,100,39,0.6457124990002187,0.5957124990002186,0.64,0.59
0.05,fixed,10,100,40,0.6445767410295407,0.5945767410295406,0.6347368421052632,0.5847368421052631
0.05,fixed,10,100,41,0.6612935175682143,0.6112935175682143,0.6673684210526316,0.6173684210526316
0.05,fixed,10,100,42,0.649712963909158,0.599712963909158,0.6421052631578947,0.5921052631578947
0.05,fixed,10,100,43,0.6531776314046072,0.6031776314046071,0.6610526315789473,0.6110526315789473
0.05,fixed,10,100,44,0.6651455327449943,0.6151455327449943,0.6694736842105263,0.6194736842105263
0.05,fixed,10,100,45,0.6528546352149496,0.6028546352149495,0.6652631578947369,0.6152631578947368
0.05,fixed,10,100,46,0.6598327927875401,0.6098327927875401,0.6705263157894736,0.6205263157894736
0.05,fixed,10,100,47,0.6627653261004174,0.6127653261004173,0.6547368421052632,0.6047368421052631
0.05,fixed,10,100,48,0.6357743735214157,0.5857743735214157,0.6610526315789473,0.6110526315789473
0.05,fixed,10,100,49,0.6395376772107035,0.5895376772107035,0.6305263157894737,0.5805263157894737
0.05,fixed,10,100,50,0.6582180450696007,0.6082180450696006,0.6578947368421053,0.6078947368421053
0.05,fixed,10,100,51,0.6464616660040162,0.5964616660040162,0.6421052631578947,0.5921052631578947
0.05,fixed,10,100,52,0.6591516678243657,0.6091516678243657,0.6831578947368421,0.633157894736842
0.05,fixed,10,100,53,0.6603662215879985,0.6103662215879985,0.66,0.61
0.05,fixed,10,100,54,0.6687372905444641,0.618737290544464,0.6736842105263158,0.6236842105263157
0.05,fixed,10,100,55,0.6426786082294048,0.5926786082294048,0.6452631578947369,0.5952631578947368
