comm_cost,cost_mode,n_clients,trial,best_client_acc,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.1,fixed,10,1,0.6305263157894737,0.6311628118930905,0.5311628118930906,0.6178947368421053,0.5178947368421053
0.1,fixed,10,2,0.6505263157894737,0.6602242039810722,0.5602242039810722,0.6578947368421053,0.5578947368421053
0.1,fixed,10,3,0.6652631578947369,0.6603143475992674,0.5603143475992675,0.6578947368421053,0.5578947368421053
0.1,fixed,10,4,0.6431578947368422,0.6530640010161601,0.5530640010161602,0.6642105263157895,0.5642105263157895
0.1,fixed,10,5,0.6242105263157894,0.6355391493256831,0.5355391493256831,0.6294736842105263,0.5294736842105263
0.1,fixed,10,6,0.6410526315789473,0.6500807301573347,0.5500807301573347,0.6578947368421053,0.5578947368421053
0.1,fixed,10,7,0.6631578947368421,0.6710585841879236,0.5710585841879237,0.6736842105263158,0.5736842105263158
0.1,fixed,10,8,0.6473684210526316,0.6421029599288846,0.5421029599288846,0.6663157894736842,0.5663157894736842
0.1,fixed,10,9,0.6557894736842105,0.6692999587827934,0.5692999587827934,0.6642105263157895,0.5642105263157895
0.1,fixed,10,10,0.6326315789473684,0.6397931647937406,0.5397931647937406,0.64,0.54
0.1,fixed,10,11,0.6463157894736842,0.6534719714707928,0.5534719714707929,0.6589473684210526,0.5589473684210526
0.1,fixed,10,12,0.6505263157894737,0.6627135031525612,0.5627135031525612,0.6442105263157895,0.5442105263157895
0.1,fixed,10,13,0.6473684210526316,0.6611751060044584,0.5611751060044584,0.6557894736842105,0.5557894736842105
0.1,fixed,10,14,0.6242105263157894,0.6372226734293165,0.5372226734293165,0.6389473684210526,0.5389473684210526
0.1,fixed,10,15,0.6347368421052632,0.6172288978584062,0.5172288978584062,0.6431578947368422,0.5431578947368422
0.1,fixed,10,16,0.6621052631578948,0.6770028004774876,0.5770028004774876,0.6663157894736842,0.5663157894736842
0.1,fixed,10,17,0.6557894736842105,0.662175691222648,0.562175691222648,0.6568421052631579,0.5568421052631579
0.1,fixed,10,18,0.6473684210526316,0.6559481005890335,0.5559481005890335,0.6452631578947369,0.5452631578947369
0.1,fixed,10,19,0.6557894736842105,0.6661871779803118,0.5661871779803118,0.6589473684210526,0.5589473684210526
0.1,fixed,10,20,0.6410526315789473,0.6551903543166078,0.5551903543166078,0.651578947368421,0.5515789473684211
0.1,fixed,10,21,0.6652631578947369,0.677885208616254,0.577885208616254,0.6821052631578948,0.5821052631578948
0.1,fixed,10,22,0.6452631578947369,0.6515673159469534,0.5515673159469534,0.6663157894736842,0.5663157894736842
0.1,fixed,10,23,0.6526315789473685,0.6613964647537207,0.5613964647537207,0.6589473684210526,0.5589473684210526
0.1,fixed,10,24,0.6484210526315789,0.6616232665514273,0.5616232665514274,0.6652631578947369,0.5652631578947369
0.1,fixed,10,25,0.6368421052631579,0.6406970343728005,0.5406970343728005,0.6484210526315789,0.5484210526315789
0.1,fixed,10,26,0.6473684210526316,0.6587467082027555,0.5587467082027555,0.6663157894736842,0.5663157894736842
0.1,fixed,10,27,0.6368421052631579,0.6455214744921972,0.5455214744921972,0.6547368421052632,0.5547368421052632
0.1,fixed,10,28,0.6684210526315789,0.6536531920782034,0.5536531920782034,0.6452631578947369,0.5452631578947369
0.1,fixed,10,29,0.6431578947368422,0.656143877108878,0.556143877108878,0.6631578947368421,0.5631578947368421
0.1,fixed,10,30,0.6505263157894737,0.664444194708244,0.564444194708244,0.6505263157894737,0.5505263157894738
0.1,fixed,10,31,0.6389473684210526,0.6525384030239891,0.5525384030239892,0.6568421052631579,0.5568421052631579
0.1,fixed,10,32,0.6273684210526316,0.6190306801381649,0.5190306801381649,0.651578947368421,0.5515789473684211
0.1,fixed,10,33,0.6663157894736842,0.6587147323717168,0.5587147323717169,0.651578947368421,0.5515789473684211
0.1,fixed,10,34,0.6557894736842105,0.6680247763327203,0.5680247763327203,0.6663157894736842,0.5663157894736842
0.1,fixed,10,35,0.6473684210526316,0.655633639989882,0.555633639989882,0.6463157894736842,0.5463157894736842
0.1,fixed,10,36,0.6557894736842105,0.6650228464359657,0.5650228464359657,0.6684210526315789,0.5684210526315789
0.1,fixed,10,37,0.6484210526315789,0.6607204189445745,0.5607204189445745,0.6547368421052632,0.5547368421052632
0.1,fixed,10,38,0.6778947368421052,0.6884674416976939,0.5884674416976939,0.6863157894736842,0.5863157894736842
0.1,fixed,10,39,0.6357894736842106,0.6457124990002187,0.5457124990002187,0.64,0.54
0.1,fixed,10,40,0.6368421052631579,0.6445767410295407,0.5445767410295407,0.6347368421052632,0.5347368421052632
0.1,fixed,10,41,0.66,0.6612935175682143,0.5612935175682143,0.6673684210526316,0.5673684210526316
0.1,fixed,10,42,0.6389473684210526,0.649712963909158,0.549712963909158,0.6421052631578947,0.5421052631578948
0.1,fixed,10,43,0.6389473684210526,0.6531776314046072,0.5531776314046072,0.6610526315789473,0.5610526315789474
0.1,fixed,10,44,0.671578947368421,0.6651455327449943,0.5651455327449943,0.6694736842105263,0.5694736842105264
0.1,fixed,10,45,0.6410526315789473,0.6528546352149496,0.5528546352149496,0.6652631578947369,0.5652631578947369
0.1,fixed,10,46,0.651578947368421,0.6598327927875401,0.5598327927875402,0.6705263157894736,0.5705263157894737
0.1,fixed,10,47,0.66,0.6627653261004174,0.5627653261004174,0.6547368421052632,0.5547368421052632
0.1,fixed,10,48,0.6484210526315789,0.6357743735214157,0.5357743735214158,0.6610526315789473,0.5610526315789474
0.1,fixed,10,49,0.6378947368421053,0.6395376772107035,0.5395376772107036,0.6305263157894737,0.5305263157894737
0.1,fixed,10,50,0.6463157894736842,0.6582180450696007,0.5582180450696007,0.6578947368421053,0.5578947368421053
0.1,fixed,10,51,0.6326315789473684,0.6464616660040162,0.5464616660040162,0.6421052631578947,0.5421052631578948
0.1,fixed,10,52,0.6536842105263158,0.6591516678243657,0.5591516678243658,0.6831578947368421,0.5831578947368421
0.1,fixed,10,53,0.6484210526315789,0.6603662215879985,0.5603662215879985,0.66,0.56
0.1,fixed,10,54,0.6578947368421053,0.6687372905444641,0.5687372905444641,0.6736842105263158,0.5736842105263158
0.1,fixed,10,55,0.6389473684210526,0.6426786082294048,0.5426786082294048,0.6452631578947369,0.5452631578947369
0.1,fixed,10,56,0.6368421052631579,0.6447762755593492,0.5447762755593493,0.6547368421052632,0.5547368421052632
0.1,fixed,10,57,0.6484210526315789,0.655815712127507,0.555815712127507,0.6547368421052632,0.5547368421052632
0.1,fixed,10,58,0.6536842105263158,0.6420280034066485,0.5420280034066485,0.651578947368421,0.5515789473684211
0.1,fixed,10,59,0.6326315789473684,0.6447852717417214,0.5447852717417214,0.6568421052631579,0.5568421052631579
0.1,fixed,10,60,0.6494736842105263,0.6611335042940835,0.5611335042940835,0.6536842105263158,0.5536842105263158
0.1,fixed,10,61,0.6378947368421053,0.6441850293382313,0.5441850293382313,0.6547368421052632,0.5547368421052632
0.1,fixed,10,62,0.6273684210526316,0.6410880857387449,0.5410880857387449,0.6463157894736842,0.5463157894736842
0.1,fixed,10,63,0.6442105263157895,0.6591211958143638,0.5591211958143638,0.6631578947368421,0.5631578947368421
0.1,fixed,10,64,0.6431578947368422,0.6533971983043183,0.5533971983043183,0.6505263157894737,0.5505263157894738
0.1,fixed,10,65,0.6578947368421053,0.6599392939392511,0.5599392939392511,0.6589473684210526,0.5589473684210526
0.1,fixed,10,66,0.64,0.6548142957894073,0.5548142957894073,0.6494736842105263,0.5494736842105263
0.1,fixed,10,67,0.628421052631579,0.6380117199404396,0.5380117199404396,0.6526315789473685,0.5526315789473685
0.1,fixed,10,68,0.6578947368421053,0.6469645958638705,0.5469645958638705,0.6705263157894736,0.5705263157894737
0.1,fixed,10,69,0.6526315789473685,0.6488697666659693,0.5488697666659693,0.671578947368421,0.5715789473684211
0.1,fixed,10,70,0.6536842105263158,0.6652549017880806,0.5652549017880806,0.6663157894736842,0.5663157894736842
0.1,fixed,10,71,0.6652631578947369,0.671213514969468,0.571213514969468,0.6621052631578948,0.5621052631578948
0.1,fixed,10,72,0.6589473684210526,0.6591202335236985,0.5591202335236986,0.6494736842105263,0.5494736842105263
0.1,fixed,10,73,0.6494736842105263,0.6486613807154497,0.5486613807154497,0.6610526315789473,0.5610526315789474
0.1,fixed,10,74,0.6557894736842105,0.6690867724187413,0.5690867724187413,0.6736842105263158,0.5736842105263158
0.1,fixed,10,75,0.6210526315789474,0.6333642906523405,0.5333642906523405,0.6463157894736842,0.5463157894736842
0.1,fixed,10,76,0.6589473684210526,0.6668026399035913,0.5668026399035914,0.6494736842105263,0.5494736842105263
0.1,fixed,10,77,0.6442105263157895,0.6523041532582721,0.5523041532582721,0.671578947368421,0.5715789473684211
0.1,fixed,10,78,0.66,0.6655536405563021,0.5655536405563021,0.6768421052631579,0.5768421052631579
0.1,fixed,10,79,0.6378947368421053,0.6540491428389722,0.5540491428389722,0.6578947368421053,0.5578947368421053
0.1,fixed,10,80,0.6642105263157895,0.6656276687918686,0.5656276687918687,0.6726315789473685,0.5726315789473685
0.1,fixed,10,81,0.6578947368421053,0.6697524094050645,0.5697524094050646,0.6757894736842105,0.5757894736842105
0.1,fixed,10,82,0.6368421052631579,0.6419850184902731,0.5419850184902731,0.6221052631578947,0.5221052631578947
0.1,fixed,10,83,0.6536842105263158,0.6552166016638018,0.5552166016638018,0.6589473684210526,0.5589473684210526
0.1,fixed,10,84,0.6421052631578947,0.6463224073880373,0.5463224073880373,0.6631578947368421,0.5631578947368421
0.1,fixed,10,85,0.6505263157894737,0.6619197948511528,0.5619197948511528,0.6536842105263158,0.5536842105263158
0.1,fixed,10,86,0.6473684210526316,0.6503288528914092,0.5503288528914092,0.6610526315789473,0.5610526315789474
0.1,fixed,10,87,0.6536842105263158,0.6551724819254521,0.5551724819254521,0.6536842105263158,0.5536842105263158
0.1,fixed,10,88,0.6442105263157895,0.6535630245613895,0.5535630245613895,0.6568421052631579,0.5568421052631579
0.1,fixed,10,89,0.6431578947368422,0.6376815957300024,0.5376815957300024,0.6694736842105263,0.5694736842105264
0.1,fixed,10,90,0.6578947368421053,0.6653037286257628,0.5653037286257628,0.6547368421052632,0.5547368421052632
0.1,fixed,10,91,0.6294736842105263,0.6423528358763357,0.5423528358763358,0.6178947368421053,0.5178947368421053
0.1,fixed,10,92,0.6473684210526316,0.6447444060517822,0.5447444060517822,0.6557894736842105,0.5557894736842105
0.1,fixed,10,93,0.6526315789473685,0.6617162075928149,0.5617162075928149,0.6663157894736842,0.5663157894736842
0.1,fixed,10,94,0.6452631578947369,0.6533456991193147,0.5533456991193147,0.6368421052631579,0.5368421052631579
0.1,fixed,10,95,0.6526315789473685,0.6627315745709241,0.5627315745709242,0.6778947368421052,0.5778947368421052
0.1,fixed,10,96,0.628421052631579,0.6354989320097277,0.5354989320097278,0.64,0.54
0.1,fixed,10,97,0.6294736842105263,0.6428359895391035,0.5428359895391035,0.6326315789473684,0.5326315789473685
0.1,fixed,10,98,0.6705263157894736,0.6518745068091653,0.5518745068091653,0.6821052631578948,0.5821052631578948
0.1,fixed,10,99,0.6357894736842106,0.6503748639333097,0.5503748639333097,0.6747368421052632,0.5747368421052632
0.1,fixed,10,100,0.6294736842105263,0.6173933568249229,0.5173933568249229,0.6389473684210526,0.5389473684210526
0.1,fixed,20,1,0.6368421052631579,0.6528856163209323,0.5528856163209324,0.671578947368421,0.5715789473684211
0.1,fixed,20,2,0.6210526315789474,0.6291123000679406,0.5291123000679406,0.6294736842105263,0.5294736842105263
