comm_cost,cost_mode,n_clients,max_iter,Complete_Occurrences,Lottery_Occurrences,source_file,n_trials,nash_rate,lottery_rate,max_depth
0.0,fixed,70,100.0,59,77,Nash_Counts_fedlr_cc_0.0_nclients_70_maxiter_100.csv,100,0.59,0.77,
0.0,fixed,80,100.0,46,67,Nash_Counts_fedlr_cc_0.0_nclients_80_maxiter_100.csv,100,0.46,0.67,
0.0,fixed,30,100.0,89,83,Nash_Counts_fedlr_cc_0.0_nclients_30_maxiter_100.csv,100,0.89,0.83,
0.0,fixed,60,100.0,56,75,Nash_Counts_fedlr_cc_0.0_nclients_60_maxiter_100.csv,100,0.56,0.75,
0.0,fixed,90,100.0,45,67,Nash_Counts_fedlr_cc_0.0_nclients_90_maxiter_100.csv,100,0.45,0.67,
0.0,fixed,20,100.0,93,86,Nash_Counts_fedlr_cc_0.0_nclients_20_maxiter_100.csv,100,0.93,0.86,
0.0,fixed,100,100.0,41,51,Nash_Counts_fedlr_cc_0.0_nclients_100_maxiter_100.csv,100,0.41,0.51,
0.0,fixed,10,,100,100,Nash_Counts_fedfor_cc_0.0_nclients_10_maxiter_100.csv,100,1.0,1.0,100.0
0.0,fixed,50,100.0,72,78,Nash_Counts_fedlr_cc_0.0_nclients_50_maxiter_100.csv,100,0.72,0.78,
0.0,fixed,10,100.0,79,84,Nash_Counts_fedlr_cc_0.0_nclients_10_maxiter_100.csv,100,0.79,0.84,
0.0,fixed,40,100.0,82,80,Nash_Counts_fedlr_cc_0.0_nclients_40_maxiter_100.csv,100,0.82,0.8,
0.01,fixed,90,100.0,16,13,Nash_Counts_fedlr_cc_0.01_nclients_90_maxiter_100.csv,100,0.16,0.13,
0.01,fixed,20,100.0,74,40,Nash_Counts_fedlr_cc_0.01_nclients_20_maxiter_100.csv,100,0.74,0.4,
0.01,fixed,60,100.0,27,18,Nash_Counts_fedlr_cc_0.01_nclients_60_maxiter_100.csv,100,0.27,0.18,
0.01,fixed,80,100.0,18,11,Nash_Counts_fedlr_cc_0.01_nclients_80_maxiter_100.csv,100,0.18,0.11,
0.01,fixed,30,100.0,77,22,Nash_Counts_fedlr_cc_0.01_nclients_30_maxiter_100.csv,100,0.77,0.22,
0.01,fixed,70,100.0,25,20,Nash_Counts_fedlr_cc_0.01_nclients_70_maxiter_100.csv,100,0.25,0.2,
0.01,fixed,40,100.0,58,25,Nash_Counts_fedlr_cc_0.01_nclients_40_maxiter_100.csv,100,0.58,0.25,
0.01,fixed,10,100.0,51,40,Nash_Counts_fedlr_cc_0.01_nclients_10_maxiter_100.csv,100,0.51,0.4,
0.01,fixed,100,100.0,18,12,Nash_Counts_fedlr_cc_0.01_nclients_100_maxiter_100.csv,100,0.18,0.12,
0.01,fixed,50,100.0,40,22,Nash_Counts_fedlr_cc_0.01_nclients_50_maxiter_100.csv,100,0.4,0.22,
0.02,fixed,50,100.0,12,0,Nash_Counts_fedlr_cc_0.02_nclients_50_maxiter_100.csv,100,0.12,0.0,
0.02,fixed,10,100.0,14,0,Nash_Counts_fedlr_cc_0.02_nclients_10_maxiter_100.csv,100,0.14,0.0,
0.02,fixed,40,100.0,25,0,Nash_Counts_fedlr_cc_0.02_nclients_40_maxiter_100.csv,100,0.25,0.0,
0.02,fixed,70,100.0,5,0,Nash_Counts_fedlr_cc_0.02_nclients_70_maxiter_100.csv,100,0.05,0.0,
0.02,fixed,30,100.0,44,1,Nash_Counts_fedlr_cc_0.02_nclients_30_maxiter_100.csv,100,0.44,0.01,
0.02,fixed,80,100.0,0,0,Nash_Counts_fedlr_cc_0.02_nclients_80_maxiter_100.csv,100,0.0,0.0,
0.02,fixed,60,100.0,7,0,Nash_Counts_fedlr_cc_0.02_nclients_60_maxiter_100.csv,100,0.07,0.0,
0.02,fixed,100,100.0,1,0,Nash_Counts_fedlr_cc_0.02_nclients_100_maxiter_100.csv,100,0.01,0.0,
0.02,fixed,20,100.0,39,1,Nash_Counts_fedlr_cc_0.02_nclients_20_maxiter_100.csv,100,0.39,0.01,
0.02,fixed,90,100.0,2,0,Nash_Counts_fedlr_cc_0.02_nclients_90_maxiter_100.csv,100,0.02,0.0,
0.05,fixed,80,100.0,0,0,Nash_Counts_fedlr_cc_0.05_nclients_80_maxiter_100.csv,100,0.0,0.0,
0.05,fixed,30,100.0,1,0,Nash_Counts_fedlr_cc_0.05_nclients_30_maxiter_100.csv,100,0.01,0.0,
0.05,fixed,70,100.0,0,0,Nash_Counts_fedlr_cc_0.05_nclients_70_maxiter_100.csv,100,0.0,0.0,
0.05,fixed,90,100.0,0,0,Nash_Counts_fedlr_cc_0.05_nclients_90_maxiter_100.csv,100,0.0,0.0,
0.05,fixed,20,100.0,3,0,Nash_Counts_fedlr_cc_0.05_nclients_20_maxiter_100.csv,100,0.03,0.0,
0.05,fixed,60,100.0,0,0,Nash_Counts_fedlr_cc_0.05_nclients_60_maxiter_100.csv,100,0.0,0.0,
0.05,fixed,100,100.0,0,0,Nash_Counts_fedlr_cc_0.05_nclients_100_maxiter_100.csv,100,0.0,0.0,
0.05,fixed,10,100.0,0,0,Nash_Counts_fedlr_cc_0.05_nclients_10_maxiter_100.csv,100,0.0,0.0,
0.05,fixed,50,100.0,0,0,Nash_Counts_fedlr_cc_0.05_nclients_50_maxiter_100.csv,100,0.0,0.0,
0.05,fixed,40,100.0,0,0,Nash_Counts_fedlr_cc_0.05_nclients_40_maxiter_100.csv,100,0.0,0.0,
0.08,fixed,10,100.0,0,0,Nash_Counts_fedlr_cc_0.08_nclients_10_maxiter_100.csv,100,0.0,0.0,
0.08,fixed,50,100.0,0,0,Nash_Counts_fedlr_cc_0.08_nclients_50_maxiter_100.csv,100,0.0,0.0,
0.08,fixed,100,100.0,0,0,Nash_Counts_fedlr_cc_0.08_nclients_100_maxiter_100.csv,100,0.0,0.0,
0.08,fixed,40,100.0,0,0,Nash_Counts_fedlr_cc_0.08_nclients_40_maxiter_100.csv,100,0.0,0.0,
0.08,fixed,30,100.0,0,0,Nash_Counts_fedlr_cc_0.08_nclients_30_maxiter_100.csv,100,0.0,0.0,
0.08,fixed,80,100.0,0,0,Nash_Counts_fedlr_cc_0.08_nclients_80_maxiter_100.csv,100,0.0,0.0,
0.08,fixed,70,100.0,0,0,Nash_Counts_fedlr_cc_0.08_nclients_70_maxiter_100.csv,100,0.0,0.0,
0.08,fixed,20,100.0,0,0,Nash_Counts_fedlr_cc_0.08_nclients_20_maxiter_100.csv,100,0.0,0.0,
0.08,fixed,90,100.0,0,0,Nash_Counts_fedlr_cc_0.08_nclients_90_maxiter_100.csv,100,0.0,0.0,
0.08,fixed,60,100.0,0,0,Nash_Counts_fedlr_cc_0.08_nclients_60_maxiter_100.csv,100,0.0,0.0,
0.1,fixed,60,100.0,0,0,Nash_Counts_fedlr_cc_0.1_nclients_60_maxiter_100.csv,100,0.0,0.0,
0.1,fixed,20,100.0,0,0,Nash_Counts_fedlr_cc_0.1_nclients_20_maxiter_100.csv,100,0.0,0.0,
0.1,fixed,90,100.0,0,0,Nash_Counts_fedlr_cc_0.1_nclients_90_maxiter_100.csv,100,0.0,0.0,
0.1,fixed,70,100.0,0,0,Nash_Counts_fedlr_cc_0.1_nclients_70_maxiter_100.csv,100,0.0,0.0,
0.1,fixed,30,100.0,0,0,Nash_Counts_fedlr_cc_0.1_nclients_30_maxiter_100.csv,100,0.0,0.0,
0.1,fixed,100,100.0,0,0,Nash_Counts_fedlr_cc_0.1_nclients_100_maxiter_100.csv,100,0.0,0.0,
0.1,fixed,80,100.0,0,0,Nash_Counts_fedlr_cc_0.1_nclients_80_maxiter_100.csv,100,0.0,0.0,
0.1,fixed,40,100.0,0,0,Nash_Counts_fedlr_cc_0.1_nclients_40_maxiter_100.csv,100,0.0,0.0,
0.1,fixed,50,100.0,0,0,Nash_Counts_fedlr_cc_0.1_nclients_50_maxiter_100.csv,100,0.0,0.0,
0.1,fixed,10,100.0,0,0,Nash_Counts_fedlr_cc_0.1_nclients_10_maxiter_100.csv,100,0.0,0.0,
