comm_cost,cost_mode,n_clients,trial,best_client_acc,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.08,fixed,10,1,0.9260450160771704,0.9632731143928543,0.8832731143928544,0.9180064308681672,0.8380064308681673
0.08,fixed,10,2,0.9340836012861736,0.9676139504057162,0.8876139504057162,0.9196141479099679,0.8396141479099679
0.08,fixed,10,3,0.887459807073955,0.925009448797999,0.845009448797999,0.8794212218649518,0.7994212218649518
0.08,fixed,10,4,0.9453376205787781,0.97709948095234,0.89709948095234,0.9308681672025724,0.8508681672025724
0.08,fixed,10,5,0.909967845659164,0.9494467478333688,0.8694467478333688,0.9035369774919614,0.8235369774919614
0.08,fixed,10,6,0.9308681672025724,0.9677747221098962,0.8877747221098963,0.9212218649517685,0.8412218649517685
0.08,fixed,10,7,0.9180064308681672,0.9515367799877098,0.8715367799877098,0.9035369774919614,0.8235369774919614
0.08,fixed,10,8,0.9340836012861736,0.9693824391516968,0.8893824391516968,0.9244372990353698,0.8444372990353698
0.08,fixed,10,9,0.927652733118971,0.9639162012095746,0.8839162012095746,0.9196141479099679,0.8396141479099679
0.08,fixed,10,10,0.9437299035369775,0.9632731143928543,0.8832731143928544,0.9131832797427653,0.8331832797427653
0.08,fixed,10,11,0.9292604501607717,0.9594145934925328,0.8794145934925328,0.9131832797427653,0.8331832797427653
0.08,fixed,10,12,0.9180064308681672,0.9566814745214718,0.8766814745214718,0.9131832797427653,0.8331832797427653
0.08,fixed,10,13,0.9340836012861736,0.9714724713060378,0.8914724713060378,0.9244372990353698,0.8444372990353698
0.08,fixed,10,14,0.9340836012861736,0.9714724713060378,0.8914724713060378,0.9260450160771704,0.8460450160771704
0.08,fixed,10,15,0.9292604501607717,0.9652023748430152,0.8852023748430152,0.9180064308681672,0.8380064308681673
0.08,fixed,10,16,0.9308681672025724,0.9550737574796712,0.8750737574796712,0.9083601286173634,0.8283601286173634
0.08,fixed,10,17,0.9067524115755627,0.9452666835246872,0.8652666835246873,0.9019292604501608,0.8219292604501608
0.08,fixed,10,18,0.9389067524115756,0.9790287414025006,0.8990287414025007,0.9372990353697749,0.8572990353697749
0.08,fixed,10,19,0.9196141479099679,0.960057680309253,0.880057680309253,0.9147909967845659,0.8347909967845659
0.08,fixed,10,20,0.9389067524115756,0.974848677093819,0.894848677093819,0.932475884244373,0.852475884244373
0.08,fixed,10,21,0.8954983922829582,0.9314403169652016,0.8514403169652016,0.882636655948553,0.802636655948553
0.08,fixed,10,22,0.9196141479099679,0.959896908605073,0.8798969086050731,0.9083601286173634,0.8283601286173634
0.08,fixed,10,23,0.9228295819935691,0.9436589664828864,0.8636589664828864,0.8971061093247589,0.8171061093247589
0.08,fixed,10,24,0.9292604501607717,0.959736136900893,0.879736136900893,0.9131832797427653,0.8331832797427653
0.08,fixed,10,25,0.9469453376205788,0.9846557510488028,0.9046557510488028,0.9356913183279743,0.8556913183279743
0.08,fixed,10,26,0.9115755627009646,0.9539483555504106,0.8739483555504106,0.9083601286173634,0.8283601286173634
0.08,fixed,10,27,0.9356913183279743,0.9711509278976775,0.8911509278976776,0.9260450160771704,0.8460450160771704
0.08,fixed,10,28,0.9212218649517685,0.9579676481549124,0.8779676481549125,0.9131832797427653,0.8331832797427653
0.08,fixed,10,29,0.9180064308681672,0.9518583233960698,0.8718583233960698,0.9067524115755627,0.8267524115755628
0.08,fixed,10,30,0.9067524115755627,0.9459097703414074,0.8659097703414075,0.9019292604501608,0.8219292604501608
0.08,fixed,10,31,0.9308681672025724,0.9666493201806357,0.8866493201806357,0.9244372990353698,0.8444372990353698
0.08,fixed,10,32,0.927652733118971,0.9635946578012144,0.8835946578012145,0.9180064308681672,0.8380064308681673
0.08,fixed,10,33,0.9292604501607717,0.9600576803092532,0.8800576803092532,0.9131832797427653,0.8331832797427653
0.08,fixed,10,34,0.9244372990353698,0.954752214071311,0.874752214071311,0.909967845659164,0.829967845659164
0.08,fixed,10,35,0.927652733118971,0.9661670050680956,0.8861670050680956,0.9180064308681672,0.8380064308681673
0.08,fixed,10,36,0.9372990353697749,0.9782248828816004,0.8982248828816004,0.9340836012861736,0.8540836012861737
0.08,fixed,10,37,0.9308681672025724,0.960057680309253,0.880057680309253,0.9131832797427653,0.8331832797427653
0.08,fixed,10,38,0.9469453376205788,0.9857811529780633,0.9057811529780634,0.9389067524115756,0.8589067524115757
0.08,fixed,10,39,0.9292604501607717,0.9586107349716324,0.8786107349716324,0.9163987138263665,0.8363987138263665
0.08,fixed,10,40,0.9292604501607717,0.9652023748430152,0.8852023748430152,0.9180064308681672,0.8380064308681673
0.08,fixed,10,41,0.9212218649517685,0.9576461047465522,0.8776461047465522,0.9115755627009646,0.8315755627009647
0.08,fixed,10,42,0.9372990353697749,0.9666493201806358,0.8866493201806358,0.9244372990353698,0.8444372990353698
0.08,fixed,10,43,0.932475884244373,0.9700255259684172,0.8900255259684172,0.9308681672025724,0.8508681672025724
0.08,fixed,10,44,0.9163987138263665,0.9541091272545907,0.8741091272545908,0.9083601286173634,0.8283601286173634
0.08,fixed,10,45,0.9372990353697749,0.9716332430102176,0.8916332430102176,0.9260450160771704,0.8460450160771704
0.08,fixed,10,46,0.905144694533762,0.9457489986372274,0.8657489986372274,0.9003215434083601,0.8203215434083602
