comm_cost,cost_mode,n_clients,max_iter,trial,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.01,fixed,10,100,1,0.9197152517176634,0.9097152517176634,0.9196141479099679,0.9096141479099679
0.01,fixed,10,100,2,0.9306104812054653,0.9206104812054653,0.9212218649517685,0.9112218649517685
0.01,fixed,10,100,3,0.8953957497695231,0.8853957497695231,0.8890675241157556,0.8790675241157556
0.01,fixed,10,100,4,0.9432075085718574,0.9332075085718574,0.9453376205787781,0.9353376205787781
0.01,fixed,10,100,5,0.9107852130222365,0.9007852130222365,0.909967845659164,0.899967845659164
0.01,fixed,10,100,6,0.9308304243661962,0.9208304243661962,0.927652733118971,0.917652733118971
0.01,fixed,10,100,7,0.9138036303440243,0.9038036303440243,0.9131832797427653,0.9031832797427652
0.01,fixed,10,100,8,0.9387089544908357,0.9287089544908357,0.9260450160771704,0.9160450160771704
0.01,fixed,10,100,9,0.9248589906375264,0.9148589906375264,0.9260450160771704,0.9160450160771704
0.01,fixed,10,100,10,0.930465678253158,0.920465678253158,0.932475884244373,0.922475884244373
0.01,fixed,10,100,11,0.9258399612083364,0.9158399612083364,0.9212218649517685,0.9112218649517685
0.01,fixed,10,100,12,0.9220811326790355,0.9120811326790355,0.9212218649517685,0.9112218649517685
0.01,fixed,10,100,13,0.9327620055929944,0.9227620055929944,0.9340836012861736,0.9240836012861736
0.01,fixed,10,100,14,0.9301817060143139,0.9201817060143139,0.9244372990353698,0.9144372990353697
0.01,fixed,10,100,15,0.9255875521092563,0.9155875521092562,0.9244372990353698,0.9144372990353697
0.01,fixed,10,100,16,0.925665134243921,0.915665134243921,0.9308681672025724,0.9208681672025724
0.01,fixed,10,100,17,0.9090362157771983,0.8990362157771983,0.9083601286173634,0.8983601286173634
0.01,fixed,10,100,18,0.9539094114683655,0.9439094114683655,0.9405144694533762,0.9305144694533762
0.01,fixed,10,100,19,0.9208578656990052,0.9108578656990052,0.9244372990353698,0.9144372990353697
0.01,fixed,10,100,20,0.9363859193361,0.9263859193361,0.9340836012861736,0.9240836012861736
0.01,fixed,10,100,21,0.9029173885397034,0.8929173885397034,0.8922829581993569,0.8822829581993569
0.01,fixed,10,100,22,0.9231228695993566,0.9131228695993566,0.9244372990353698,0.9144372990353697
0.01,fixed,10,100,23,0.9282148382959808,0.9182148382959808,0.9083601286173634,0.8983601286173634
0.01,fixed,10,100,24,0.9457349452800905,0.9357349452800905,0.9292604501607717,0.9192604501607717
0.01,fixed,10,100,25,0.9471017713008794,0.9371017713008793,0.9517684887459807,0.9417684887459807
0.01,fixed,10,100,26,0.9156337433886673,0.9056337433886673,0.9180064308681672,0.9080064308681672
0.01,fixed,10,100,27,0.9354039515095005,0.9254039515095005,0.9372990353697749,0.9272990353697749
0.01,fixed,10,100,28,0.9203308128527263,0.9103308128527263,0.9212218649517685,0.9112218649517685
0.01,fixed,10,100,29,0.9337748677177866,0.9237748677177866,0.9163987138263665,0.9063987138263665
0.01,fixed,10,100,30,0.906590241033597,0.896590241033597,0.9035369774919614,0.8935369774919614
0.01,fixed,10,100,31,0.9327297798502504,0.9227297798502504,0.9308681672025724,0.9208681672025724
0.01,fixed,10,100,32,0.9382144018900267,0.9282144018900267,0.9212218649517685,0.9112218649517685
0.01,fixed,10,100,33,0.921008760823344,0.911008760823344,0.9180064308681672,0.9080064308681672
0.01,fixed,10,100,34,0.9341715144430158,0.9241715144430158,0.9163987138263665,0.9063987138263665
0.01,fixed,10,100,35,0.9546733523600361,0.9446733523600361,0.9228295819935691,0.9128295819935691
0.01,fixed,10,100,36,0.9404793287880104,0.9304793287880104,0.9421221864951769,0.9321221864951769
0.01,fixed,10,100,37,0.9333726535421552,0.9233726535421551,0.9228295819935691,0.9128295819935691
0.01,fixed,10,100,38,0.9459019543878868,0.9359019543878868,0.9437299035369775,0.9337299035369775
0.01,fixed,10,100,39,0.9177580246636838,0.9077580246636838,0.9131832797427653,0.9031832797427652
0.01,fixed,10,100,40,0.9327522112411467,0.9227522112411467,0.932475884244373,0.922475884244373
0.01,fixed,10,100,41,0.9190230760393541,0.9090230760393541,0.9228295819935691,0.9128295819935691
0.01,fixed,10,100,42,0.9275249778571322,0.9175249778571322,0.9292604501607717,0.9192604501607717
0.01,fixed,10,100,43,0.9413287210997386,0.9313287210997386,0.9292604501607717,0.9192604501607717
0.01,fixed,10,100,44,0.9160759076545854,0.9060759076545853,0.9196141479099679,0.9096141479099679
0.01,fixed,10,100,45,0.9277081776310072,0.9177081776310072,0.9292604501607717,0.9192604501607717
0.01,fixed,10,100,46,0.907090649696759,0.897090649696759,0.9067524115755627,0.8967524115755627
0.01,fixed,10,100,47,0.9403661176556128,0.9303661176556128,0.927652733118971,0.917652733118971
0.01,fixed,10,100,48,0.9223648324680278,0.9123648324680278,0.9244372990353698,0.9144372990353697
0.01,fixed,10,100,49,0.9258650442705024,0.9158650442705024,0.9244372990353698,0.9144372990353697
0.01,fixed,10,100,50,0.9252572242603522,0.9152572242603522,0.9147909967845659,0.9047909967845659
0.01,fixed,10,100,51,0.9379443403137133,0.9279443403137133,0.9356913183279743,0.9256913183279742
0.01,fixed,10,100,52,0.9364379919600982,0.9264379919600982,0.9372990353697749,0.9272990353697749
0.01,fixed,10,100,53,0.9333280441406875,0.9233280441406875,0.9308681672025724,0.9208681672025724
0.01,fixed,10,100,54,0.9096057608873123,0.8996057608873123,0.905144694533762,0.895144694533762
0.01,fixed,10,100,55,0.9336163615259669,0.9236163615259669,0.9308681672025724,0.9208681672025724
0.01,fixed,10,100,56,0.9216179529481324,0.9116179529481324,0.9147909967845659,0.9047909967845659
0.01,fixed,10,100,57,0.9415828057943211,0.9315828057943211,0.9405144694533762,0.9305144694533762
0.01,fixed,10,100,58,0.9272841001713192,0.9172841001713192,0.9131832797427653,0.9031832797427652
0.01,fixed,10,100,59,0.9143867379167944,0.9043867379167944,0.9131832797427653,0.9031832797427652
0.01,fixed,10,100,60,0.9216830642393343,0.9116830642393343,0.9228295819935691,0.9128295819935691
0.01,fixed,10,100,61,0.9176682522518133,0.9076682522518132,0.9196141479099679,0.9096141479099679
0.01,fixed,10,100,62,0.9234799807846432,0.9134799807846432,0.9212218649517685,0.9112218649517685
0.01,fixed,10,100,63,0.9088506345322725,0.8988506345322725,0.9083601286173634,0.8983601286173634
0.01,fixed,10,100,64,0.9274596269848479,0.9174596269848478,0.9308681672025724,0.9208681672025724
0.01,fixed,10,100,65,0.918078430838814,0.908078430838814,0.9147909967845659,0.9047909967845659
0.01,fixed,10,100,66,0.9294197351526211,0.9194197351526211,0.927652733118971,0.917652733118971
0.01,fixed,10,100,67,0.9264051164372029,0.9164051164372029,0.9292604501607717,0.9192604501607717
0.01,fixed,10,100,68,0.9212146044392829,0.9112146044392829,0.9212218649517685,0.9112218649517685
0.01,fixed,10,100,69,0.9233724313721499,0.9133724313721499,0.9228295819935691,0.9128295819935691
0.01,fixed,10,100,70,0.9111114553346554,0.9011114553346554,0.909967845659164,0.899967845659164
0.01,fixed,10,100,71,0.9462538609568352,0.9362538609568352,0.9469453376205788,0.9369453376205787
0.01,fixed,10,100,72,0.9266493506466751,0.9166493506466751,0.927652733118971,0.917652733118971
0.01,fixed,10,100,73,0.9293830313038351,0.9193830313038351,0.927652733118971,0.917652733118971
0.01,fixed,10,100,74,0.9225169671312354,0.9125169671312354,0.9212218649517685,0.9112218649517685
0.01,fixed,10,100,75,0.9343674993719516,0.9243674993719516,0.9340836012861736,0.9240836012861736
0.01,fixed,10,100,76,0.9361431943187805,0.9261431943187804,0.9356913183279743,0.9256913183279742
0.01,fixed,10,100,77,0.9290090418173216,0.9190090418173216,0.9292604501607717,0.9192604501607717
0.01,fixed,10,100,78,0.9121022742085846,0.9021022742085846,0.9147909967845659,0.9047909967845659
0.01,fixed,10,100,79,0.9284700279605826,0.9184700279605826,0.927652733118971,0.917652733118971
0.01,fixed,10,100,80,0.9322737111809856,0.9222737111809856,0.9340836012861736,0.9240836012861736
0.01,fixed,10,100,81,0.9332258129003543,0.9232258129003543,0.9163987138263665,0.9063987138263665
0.01,fixed,10,100,82,0.9341039304523026,0.9241039304523025,0.9356913183279743,0.9256913183279742
0.01,fixed,10,100,83,0.9297274513899313,0.9197274513899313,0.9292604501607717,0.9192604501607717
0.01,fixed,10,100,84,0.9291633129768179,0.9191633129768179,0.9308681672025724,0.9208681672025724
0.01,fixed,10,100,85,0.9339179948701493,0.9239179948701493,0.932475884244373,0.922475884244373
0.01,fixed,10,100,86,0.9439640429672586,0.9339640429672585,0.9453376205787781,0.9353376205787781
0.01,fixed,10,100,87,0.9145386527168964,0.9045386527168964,0.905144694533762,0.895144694533762
0.01,fixed,10,100,88,0.9310159581007273,0.9210159581007273,0.9180064308681672,0.9080064308681672
0.01,fixed,10,100,89,0.9067277565127243,0.8967277565127243,0.905144694533762,0.895144694533762
0.01,fixed,10,100,90,0.929874152621222,0.919874152621222,0.927652733118971,0.917652733118971
0.01,fixed,10,100,91,0.9196867401166736,0.9096867401166736,0.9180064308681672,0.9080064308681672
0.01,fixed,10,100,92,0.9247039425080611,0.9147039425080611,0.9228295819935691,0.9128295819935691
0.01,fixed,10,100,93,0.9182341595457566,0.9082341595457566,0.905144694533762,0.895144694533762
0.01,fixed,10,100,94,0.9256991930978651,0.9156991930978651,0.9260450160771704,0.9160450160771704
0.01,fixed,10,100,95,0.9388888206619127,0.9288888206619127,0.927652733118971,0.917652733118971
0.01,fixed,10,100,96,0.905835115970349,0.895835115970349,0.9067524115755627,0.8967524115755627
0.01,fixed,10,100,97,0.9225697008114573,0.9125697008114573,0.9228295819935691,0.9128295819935691
0.01,fixed,10,100,98,0.9199206930915133,0.9099206930915132,0.9196141479099679,0.9096141479099679
0.01,fixed,10,100,99,0.9264901587356574,0.9164901587356574,0.9260450160771704,0.9160450160771704
0.01,fixed,10,100,100,0.9323300634421706,0.9223300634421706,0.9308681672025724,0.9208681672025724
0.01,fixed,20,100,1,0.932912300637381,0.922912300637381,0.9389067524115756,0.9289067524115756
0.01,fixed,20,100,2,0.9227191824973515,0.9127191824973515,0.9147909967845659,0.9047909967845659
0.01,fixed,20,100,3,0.9071368253187508,0.8971368253187508,0.9019292604501608,0.8919292604501607
0.01,fixed,20,100,4,0.9347787115282548,0.9247787115282547,0.9356913183279743,0.9256913183279742
0.01,fixed,20,100,5,0.9423756386555825,0.9323756386555825,0.9292604501607717,0.9192604501607717
0.01,fixed,20,100,6,0.9253204528285564,0.9153204528285563,0.9212218649517685,0.9112218649517685
0.01,fixed,20,100,7,0.9161621861438116,0.9061621861438116,0.909967845659164,0.899967845659164
0.01,fixed,20,100,8,0.9242963883952238,0.9142963883952238,0.9212218649517685,0.9112218649517685
0.01,fixed,20,100,9,0.9155546333841149,0.9055546333841149,0.9131832797427653,0.9031832797427652
0.01,fixed,20,100,10,0.9225308417939914,0.9125308417939914,0.9212218649517685,0.9112218649517685
0.01,fixed,20,100,11,0.9318363912855151,0.9218363912855151,0.9292604501607717,0.9192604501607717
