comm_cost,cost_mode,n_clients,max_iter,Complete_Occurrences,Lottery_Occurrences,source_file,n_trials,nash_rate,lottery_rate
0.0,fixed,70,100,0,87,Nash_Counts_fedlr_cc_0.0_nclients_70_maxiter_100.csv,100,0.0,0.87
0.0,fixed,80,100,0,98,Nash_Counts_fedlr_cc_0.0_nclients_80_maxiter_100.csv,100,0.0,0.98
0.0,fixed,30,100,0,14,Nash_Counts_fedlr_cc_0.0_nclients_30_maxiter_100.csv,100,0.0,0.14
0.0,fixed,60,100,0,71,Nash_Counts_fedlr_cc_0.0_nclients_60_maxiter_100.csv,100,0.0,0.71
0.0,fixed,90,100,0,98,Nash_Counts_fedlr_cc_0.0_nclients_90_maxiter_100.csv,100,0.0,0.98
0.0,fixed,20,100,0,18,Nash_Counts_fedlr_cc_0.0_nclients_20_maxiter_100.csv,100,0.0,0.18
0.0,fixed,100,100,0,100,Nash_Counts_fedlr_cc_0.0_nclients_100_maxiter_100.csv,100,0.0,1.0
0.0,fixed,50,100,0,48,Nash_Counts_fedlr_cc_0.0_nclients_50_maxiter_100.csv,100,0.0,0.48
0.0,fixed,10,100,0,18,Nash_Counts_fedlr_cc_0.0_nclients_10_maxiter_100.csv,100,0.0,0.18
0.0,fixed,40,100,0,27,Nash_Counts_fedlr_cc_0.0_nclients_40_maxiter_100.csv,100,0.0,0.27
0.01,fixed,90,100,0,96,Nash_Counts_fedlr_cc_0.01_nclients_90_maxiter_100.csv,100,0.0,0.96
0.01,fixed,20,100,0,3,Nash_Counts_fedlr_cc_0.01_nclients_20_maxiter_100.csv,100,0.0,0.03
0.01,fixed,60,100,0,65,Nash_Counts_fedlr_cc_0.01_nclients_60_maxiter_100.csv,100,0.0,0.65
0.01,fixed,80,100,0,91,Nash_Counts_fedlr_cc_0.01_nclients_80_maxiter_100.csv,100,0.0,0.91
0.01,fixed,30,100,0,0,Nash_Counts_fedlr_cc_0.01_nclients_30_maxiter_100.csv,100,0.0,0.0
0.01,fixed,70,100,0,78,Nash_Counts_fedlr_cc_0.01_nclients_70_maxiter_100.csv,100,0.0,0.78
