comm_cost,cost_mode,n_clients,max_iter,trial,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.08,fixed,10,100,1,0.8918341496154462,0.8118341496154462,0.9239956568946797,0.8439956568946797
0.08,fixed,10,100,2,0.9000323396810933,0.8200323396810933,0.9218241042345277,0.8418241042345277
0.08,fixed,10,100,3,0.9053886663832275,0.8253886663832275,0.9294245385450597,0.8494245385450597
0.08,fixed,10,100,4,0.927365714666321,0.847365714666321,0.9294245385450597,0.8494245385450597
0.08,fixed,10,100,5,0.90719581223641,0.82719581223641,0.9174809989142236,0.8374809989142237
0.08,fixed,10,100,6,0.9138522811997156,0.8338522811997157,0.9207383279044516,0.8407383279044517
0.08,fixed,10,100,7,0.8949126954941138,0.8149126954941138,0.9174809989142236,0.8374809989142237
0.08,fixed,10,100,8,0.9047516529586818,0.8247516529586818,0.9294245385450597,0.8494245385450597
0.08,fixed,10,100,9,0.9280086696738805,0.8480086696738806,0.9185667752442996,0.8385667752442997
0.08,fixed,10,100,10,0.9301815231469551,0.8501815231469552,0.9207383279044516,0.8407383279044517
0.08,fixed,10,100,11,0.9099731371864856,0.8299731371864857,0.9207383279044516,0.8407383279044517
0.08,fixed,10,100,12,0.900265140826988,0.8202651408269881,0.9305103148751357,0.8505103148751357
0.08,fixed,10,100,13,0.9082923829535753,0.8282923829535753,0.9250814332247557,0.8450814332247557
0.08,fixed,10,100,14,0.8793187979740953,0.7993187979740953,0.9174809989142236,0.8374809989142237
0.08,fixed,10,100,15,0.8874061264177732,0.8074061264177732,0.9196525515743756,0.8396525515743757
0.08,fixed,10,100,16,0.904601233087826,0.8246012330878261,0.9261672095548317,0.8461672095548317
0.08,fixed,10,100,17,0.8949515486097854,0.8149515486097855,0.9326818675352877,0.8526818675352877
0.08,fixed,10,100,18,0.8993877793158218,0.8193877793158219,0.9305103148751357,0.8505103148751357
0.08,fixed,10,100,19,0.8997907780346246,0.8197907780346246,0.9131378935939196,0.8331378935939197
0.08,fixed,10,100,20,0.9107242758412489,0.830724275841249,0.9142236699239956,0.8342236699239957
0.08,fixed,10,100,21,0.9138579623035574,0.8338579623035575,0.9229098805646037,0.8429098805646037
0.08,fixed,10,100,22,0.9228949460771708,0.8428949460771709,0.9120521172638436,0.8320521172638436
0.08,fixed,10,100,23,0.8988822370968415,0.8188822370968415,0.9283387622149837,0.8483387622149837
0.08,fixed,10,100,24,0.9037094777804654,0.8237094777804654,0.9218241042345277,0.8418241042345277
0.08,fixed,10,100,25,0.9032290950562982,0.8232290950562983,0.9196525515743756,0.8396525515743757
0.08,fixed,10,100,26,0.9095067802668022,0.8295067802668022,0.9229098805646037,0.8429098805646037
0.08,fixed,10,100,27,0.9196962951129997,0.8396962951129997,0.9185667752442996,0.8385667752442997
0.08,fixed,10,100,28,0.9243188700536993,0.8443188700536993,0.9337676438653637,0.8537676438653637
0.08,fixed,10,100,29,0.9025464162261718,0.8225464162261719,0.9066232356134636,0.8266232356134636
0.08,fixed,10,100,30,0.8936509561791796,0.8136509561791796,0.9250814332247557,0.8450814332247557
0.08,fixed,10,100,31,0.8893074953555642,0.8093074953555642,0.9163952225841476,0.8363952225841477
0.08,fixed,10,100,32,0.909591774523418,0.829591774523418,0.9261672095548317,0.8461672095548317
0.08,fixed,10,100,33,0.8896297068075691,0.8096297068075692,0.9239956568946797,0.8439956568946797
0.08,fixed,10,100,34,0.9117680717198094,0.8317680717198095,0.9315960912052117,0.8515960912052117
0.08,fixed,10,100,35,0.9108031742731717,0.8308031742731717,0.9326818675352877,0.8526818675352877
0.08,fixed,10,100,36,0.900103872682468,0.8201038726824681,0.9163952225841476,0.8363952225841477
0.08,fixed,10,100,37,0.9178784625748426,0.8378784625748427,0.9218241042345277,0.8418241042345277
0.08,fixed,10,100,38,0.8905315022240488,0.8105315022240488,0.9370249728555917,0.8570249728555918
0.08,fixed,10,100,39,0.9120038438690129,0.8320038438690129,0.9196525515743756,0.8396525515743757
0.08,fixed,10,100,40,0.9112622907615182,0.8312622907615183,0.9250814332247557,0.8450814332247557
0.08,fixed,10,100,41,0.8856294915630015,0.8056294915630016,0.9250814332247557,0.8450814332247557
0.08,fixed,10,100,42,0.9057121078180631,0.8257121078180631,0.9207383279044516,0.8407383279044517
0.08,fixed,10,100,43,0.9095805604012765,0.8295805604012766,0.9087947882736156,0.8287947882736156
0.08,fixed,10,100,44,0.9075632847633587,0.8275632847633587,0.9131378935939196,0.8331378935939197
0.08,fixed,10,100,45,0.9110633082397672,0.8310633082397673,0.9381107491856677,0.8581107491856678
0.08,fixed,10,100,46,0.8925666861426282,0.8125666861426283,0.9120521172638436,0.8320521172638436
0.08,fixed,10,100,47,0.886655232352545,0.806655232352545,0.9087947882736156,0.8287947882736156
0.08,fixed,10,100,48,0.8866329249978246,0.8066329249978247,0.9153094462540716,0.8353094462540717
0.08,fixed,10,100,49,0.9272611715705126,0.8472611715705126,0.9337676438653637,0.8537676438653637
0.08,fixed,10,100,50,0.8881405335892274,0.8081405335892274,0.9218241042345277,0.8418241042345277
0.08,fixed,10,100,51,0.8894270174216395,0.8094270174216396,0.9174809989142236,0.8374809989142237
0.08,fixed,10,100,52,0.9349946113019312,0.8549946113019312,0.9489685124864278,0.8689685124864278
0.08,fixed,10,100,53,0.9274653742206546,0.8474653742206546,0.9391965255157437,0.8591965255157438
0.08,fixed,10,100,54,0.8960413336937006,0.8160413336937007,0.9326818675352877,0.8526818675352877
0.08,fixed,10,100,55,0.9069434191934425,0.8269434191934425,0.9337676438653637,0.8537676438653637
0.08,fixed,10,100,56,0.8933320443034811,0.8133320443034812,0.9153094462540716,0.8353094462540717
0.08,fixed,10,100,57,0.889910286438213,0.8099102864382131,0.9370249728555917,0.8570249728555918
0.08,fixed,10,100,58,0.8967231466670433,0.8167231466670434,0.9174809989142236,0.8374809989142237
0.08,fixed,10,100,59,0.9235870608226566,0.8435870608226567,0.9305103148751357,0.8505103148751357
0.08,fixed,10,100,60,0.9179449135156018,0.8379449135156019,0.9283387622149837,0.8483387622149837
0.08,fixed,10,100,61,0.913685020744702,0.8336850207447021,0.9381107491856677,0.8581107491856678
0.08,fixed,10,100,62,0.9070869314144067,0.8270869314144067,0.9229098805646037,0.8429098805646037
0.08,fixed,10,100,63,0.9141040895223131,0.8341040895223132,0.9218241042345277,0.8418241042345277
0.08,fixed,10,100,64,0.8909893657649011,0.8109893657649011,0.9109663409337676,0.8309663409337676
0.08,fixed,10,100,65,0.897648661761429,0.817648661761429,0.9153094462540716,0.8353094462540717
0.08,fixed,10,100,66,0.9042366983368707,0.8242366983368707,0.9283387622149837,0.8483387622149837
0.08,fixed,10,100,67,0.8913883181251103,0.8113883181251104,0.9185667752442996,0.8385667752442997
0.08,fixed,10,100,68,0.9076956460057067,0.8276956460057068,0.9239956568946797,0.8439956568946797
0.08,fixed,10,100,69,0.9228054862189287,0.8428054862189287,0.9370249728555917,0.8570249728555918
0.08,fixed,10,100,70,0.9011841758507649,0.821184175850765,0.9120521172638436,0.8320521172638436
0.08,fixed,10,100,71,0.9119696482565851,0.8319696482565851,0.9478827361563518,0.8678827361563518
0.08,fixed,10,100,72,0.8924988150737347,0.8124988150737348,0.9283387622149837,0.8483387622149837
0.08,fixed,10,100,73,0.9096584437634121,0.8296584437634121,0.9250814332247557,0.8450814332247557
0.08,fixed,10,100,74,0.8860633885587208,0.8060633885587208,0.9467969598262758,0.8667969598262758
0.08,fixed,10,100,75,0.9090057069665729,0.8290057069665729,0.9283387622149837,0.8483387622149837
0.08,fixed,10,100,76,0.8880752229071491,0.8080752229071492,0.9250814332247557,0.8450814332247557
0.08,fixed,10,100,77,0.9254174781728017,0.8454174781728018,0.9218241042345277,0.8418241042345277
0.08,fixed,10,100,78,0.9010103428719572,0.8210103428719573,0.9218241042345277,0.8418241042345277
0.08,fixed,10,100,79,0.907684100364406,0.8276841003644061,0.9315960912052117,0.8515960912052117
0.08,fixed,10,100,80,0.914539816248652,0.834539816248652,0.9239956568946797,0.8439956568946797
0.08,fixed,10,100,81,0.9119268384626753,0.8319268384626753,0.9218241042345277,0.8418241042345277
0.08,fixed,10,100,82,0.9213111758408311,0.8413111758408311,0.9283387622149837,0.8483387622149837
0.08,fixed,10,100,83,0.9151099080297028,0.8351099080297029,0.9315960912052117,0.8515960912052117
0.08,fixed,10,100,84,0.9112701773582758,0.8312701773582758,0.9250814332247557,0.8450814332247557
0.08,fixed,10,100,85,0.8992620782991348,0.8192620782991349,0.9120521172638436,0.8320521172638436
0.08,fixed,10,100,86,0.9161887871949399,0.8361887871949399,0.9326818675352877,0.8526818675352877
0.08,fixed,10,100,87,0.9251695559293742,0.8451695559293743,0.9174809989142236,0.8374809989142237
0.08,fixed,10,100,88,0.9014850171894813,0.8214850171894813,0.9174809989142236,0.8374809989142237
0.08,fixed,10,100,89,0.8936860030742703,0.8136860030742703,0.9174809989142236,0.8374809989142237
0.08,fixed,10,100,90,0.9100541370505622,0.8300541370505622,0.9326818675352877,0.8526818675352877
0.08,fixed,10,100,91,0.8899992299366702,0.8099992299366703,0.9163952225841476,0.8363952225841477
0.08,fixed,10,100,92,0.9010485901814869,0.8210485901814869,0.9142236699239956,0.8342236699239957
0.08,fixed,10,100,93,0.8926953206162774,0.8126953206162775,0.9218241042345277,0.8418241042345277
0.08,fixed,10,100,94,0.9008679079380887,0.8208679079380887,0.9229098805646037,0.8429098805646037
0.08,fixed,10,100,95,0.9101720413355561,0.8301720413355561,0.9044516829533116,0.8244516829533116
0.08,fixed,10,100,96,0.9002084560215265,0.8202084560215266,0.9153094462540716,0.8353094462540717
0.08,fixed,10,100,97,0.9137657059801151,0.8337657059801151,0.9120521172638436,0.8320521172638436
0.08,fixed,10,100,98,0.9120817284215912,0.8320817284215912,0.9109663409337676,0.8309663409337676
0.08,fixed,10,100,99,0.9320236945694809,0.8520236945694809,0.9218241042345277,0.8418241042345277
0.08,fixed,10,100,100,0.9090611338389216,0.8290611338389217,0.9250814332247557,0.8450814332247557
0.08,fixed,20,100,1,0.9007008899197104,0.8207008899197105,0.9315960912052117,0.8515960912052117
0.08,fixed,20,100,2,0.9049240438002899,0.8249240438002899,0.9326818675352877,0.8526818675352877
0.08,fixed,20,100,3,0.8967624663734722,0.8167624663734723,0.9131378935939196,0.8331378935939197
0.08,fixed,20,100,4,0.8855705629885051,0.8055705629885052,0.9163952225841476,0.8363952225841477
0.08,fixed,20,100,5,0.9400093066778702,0.8600093066778702,0.9315960912052117,0.8515960912052117
0.08,fixed,20,100,6,0.9093274932024261,0.8293274932024262,0.9261672095548317,0.8461672095548317
0.08,fixed,20,100,7,0.9111721496427948,0.8311721496427948,0.9185667752442996,0.8385667752442997
