comm_cost,cost_mode,n_clients,max_iter,Complete_Occurrences,Lottery_Occurrences,source_file,n_trials,nash_rate,lottery_rate
0.0,fixed,30,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_30_maxiter_100.csv,100,1.0,1.0
0.0,fixed,80,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_80_maxiter_100.csv,100,1.0,1.0
0.0,fixed,70,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_70_maxiter_100.csv,100,1.0,1.0
0.0,fixed,20,100,100,99,Nash_Counts_fedfor_cc_0.0_nclients_20_maxiter_100.csv,100,1.0,0.99
0.0,fixed,90,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_90_maxiter_100.csv,100,1.0,1.0
0.0,fixed,60,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_60_maxiter_100.csv,100,1.0,1.0
0.0,fixed,10,100,100,95,Nash_Counts_fedfor_cc_0.0_nclients_10_maxiter_100.csv,100,1.0,0.95
0.0,fixed,50,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_50_maxiter_100.csv,100,1.0,1.0
0.0,fixed,100,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_100_maxiter_100.csv,100,1.0,1.0
0.0,fixed,40,100,100,100,Nash_Counts_fedfor_cc_0.0_nclients_40_maxiter_100.csv,100,1.0,1.0
0.01,fixed,60,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_60_maxiter_100.csv,100,1.0,1.0
0.01,fixed,90,100,99,100,Nash_Counts_fedfor_cc_0.01_nclients_90_maxiter_100.csv,100,0.99,1.0
0.01,fixed,20,100,100,98,Nash_Counts_fedfor_cc_0.01_nclients_20_maxiter_100.csv,100,1.0,0.98
0.01,fixed,70,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_70_maxiter_100.csv,100,1.0,1.0
0.01,fixed,80,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_80_maxiter_100.csv,100,1.0,1.0
0.01,fixed,100,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_100_maxiter_100.csv,100,1.0,1.0
0.01,fixed,30,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_30_maxiter_100.csv,100,1.0,1.0
0.01,fixed,40,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_40_maxiter_100.csv,100,1.0,1.0
0.01,fixed,50,100,100,100,Nash_Counts_fedfor_cc_0.01_nclients_50_maxiter_100.csv,100,1.0,1.0
0.01,fixed,10,100,100,83,Nash_Counts_fedfor_cc_0.01_nclients_10_maxiter_100.csv,100,1.0,0.83
0.02,fixed,10,100,97,61,Nash_Counts_fedfor_cc_0.02_nclients_10_maxiter_100.csv,100,0.97,0.61
0.02,fixed,50,100,100,99,Nash_Counts_fedfor_cc_0.02_nclients_50_maxiter_100.csv,100,1.0,0.99
0.02,fixed,100,100,100,100,Nash_Counts_fedfor_cc_0.02_nclients_100_maxiter_100.csv,100,1.0,1.0
0.02,fixed,40,100,99,97,Nash_Counts_fedfor_cc_0.02_nclients_40_maxiter_100.csv,100,0.99,0.97
0.02,fixed,30,100,100,96,Nash_Counts_fedfor_cc_0.02_nclients_30_maxiter_100.csv,100,1.0,0.96
0.02,fixed,80,100,100,100,Nash_Counts_fedfor_cc_0.02_nclients_80_maxiter_100.csv,100,1.0,1.0
0.02,fixed,70,100,98,100,Nash_Counts_fedfor_cc_0.02_nclients_70_maxiter_100.csv,100,0.98,1.0
0.02,fixed,20,100,98,84,Nash_Counts_fedfor_cc_0.02_nclients_20_maxiter_100.csv,100,0.98,0.84
