comm_cost,cost_mode,n_clients,max_iter,Static_Occurrences,Lottery_Occurrences,source_file,n_trials,nash_rate,lottery_rate
0.0,fixed,70,100,73,95,Nash_Counts_fedlr_cc_0.0_nclients_70_maxiter_100.csv,100,0.73,0.95
0.0,fixed,80,100,65,79,Nash_Counts_fedlr_cc_0.0_nclients_80_maxiter_100.csv,100,0.65,0.79
0.0,fixed,30,100,95,99,Nash_Counts_fedlr_cc_0.0_nclients_30_maxiter_100.csv,100,0.95,0.99
0.0,fixed,60,100,89,99,Nash_Counts_fedlr_cc_0.0_nclients_60_maxiter_100.csv,100,0.89,0.99
0.0,fixed,90,100,57,57,Nash_Counts_fedlr_cc_0.0_nclients_90_maxiter_100.csv,100,0.57,0.57
0.0,fixed,20,100,98,82,Nash_Counts_fedlr_cc_0.0_nclients_20_maxiter_100.csv,100,0.98,0.82
0.0,fixed,100,100,31,24,Nash_Counts_fedlr_cc_0.0_nclients_100_maxiter_100.csv,100,0.31,0.24
0.0,fixed,50,100,92,100,Nash_Counts_fedlr_cc_0.0_nclients_50_maxiter_100.csv,100,0.92,1.0
0.0,fixed,10,100,93,44,Nash_Counts_fedlr_cc_0.0_nclients_10_maxiter_100.csv,100,0.93,0.44
0.0,fixed,40,100,97,100,Nash_Counts_fedlr_cc_0.0_nclients_40_maxiter_100.csv,100,0.97,1.0
0.01,fixed,90,100,22,13,Nash_Counts_fedlr_cc_0.01_nclients_90_maxiter_100.csv,100,0.22,0.13
0.01,fixed,20,100,69,72,Nash_Counts_fedlr_cc_0.01_nclients_20_maxiter_100.csv,100,0.69,0.72
0.01,fixed,60,100,57,83,Nash_Counts_fedlr_cc_0.01_nclients_60_maxiter_100.csv,100,0.57,0.83
0.01,fixed,80,100,36,29,Nash_Counts_fedlr_cc_0.01_nclients_80_maxiter_100.csv,100,0.36,0.29
0.01,fixed,30,100,72,98,Nash_Counts_fedlr_cc_0.01_nclients_30_maxiter_100.csv,100,0.72,0.98
0.01,fixed,70,100,37,61,Nash_Counts_fedlr_cc_0.01_nclients_70_maxiter_100.csv,100,0.37,0.61
0.01,fixed,40,100,70,98,Nash_Counts_fedlr_cc_0.01_nclients_40_maxiter_100.csv,100,0.7,0.98
0.01,fixed,10,100,53,32,Nash_Counts_fedlr_cc_0.01_nclients_10_maxiter_100.csv,100,0.53,0.32
0.01,fixed,100,100,6,4,Nash_Counts_fedlr_cc_0.01_nclients_100_maxiter_100.csv,100,0.06,0.04
0.01,fixed,50,100,66,92,Nash_Counts_fedlr_cc_0.01_nclients_50_maxiter_100.csv,100,0.66,0.92
0.02,fixed,50,100,16,56,Nash_Counts_fedlr_cc_0.02_nclients_50_maxiter_100.csv,100,0.16,0.56
0.02,fixed,10,100,5,16,Nash_Counts_fedlr_cc_0.02_nclients_10_maxiter_100.csv,100,0.05,0.16
0.02,fixed,40,100,20,91,Nash_Counts_fedlr_cc_0.02_nclients_40_maxiter_100.csv,100,0.2,0.91
0.02,fixed,70,100,11,16,Nash_Counts_fedlr_cc_0.02_nclients_70_maxiter_100.csv,100,0.11,0.16
0.02,fixed,30,100,19,91,Nash_Counts_fedlr_cc_0.02_nclients_30_maxiter_100.csv,100,0.19,0.91
0.02,fixed,80,100,3,4,Nash_Counts_fedlr_cc_0.02_nclients_80_maxiter_100.csv,100,0.03,0.04
0.02,fixed,60,100,9,28,Nash_Counts_fedlr_cc_0.02_nclients_60_maxiter_100.csv,100,0.09,0.28
0.02,fixed,100,100,0,0,Nash_Counts_fedlr_cc_0.02_nclients_100_maxiter_100.csv,100,0.0,0.0
0.02,fixed,20,100,15,57,Nash_Counts_fedlr_cc_0.02_nclients_20_maxiter_100.csv,100,0.15,0.57
0.02,fixed,90,100,1,0,Nash_Counts_fedlr_cc_0.02_nclients_90_maxiter_100.csv,100,0.01,0.0
0.05,fixed,80,100,0,0,Nash_Counts_fedlr_cc_0.05_nclients_80_maxiter_100.csv,100,0.0,0.0
0.05,fixed,30,100,0,0,Nash_Counts_fedlr_cc_0.05_nclients_30_maxiter_100.csv,100,0.0,0.0
0.05,fixed,70,100,0,0,Nash_Counts_fedlr_cc_0.05_nclients_70_maxiter_100.csv,100,0.0,0.0
0.05,fixed,90,100,0,0,Nash_Counts_fedlr_cc_0.05_nclients_90_maxiter_100.csv,100,0.0,0.0
0.05,fixed,20,100,0,0,Nash_Counts_fedlr_cc_0.05_nclients_20_maxiter_100.csv,100,0.0,0.0
0.05,fixed,60,100,0,0,Nash_Counts_fedlr_cc_0.05_nclients_60_maxiter_100.csv,100,0.0,0.0
0.05,fixed,100,100,0,0,Nash_Counts_fedlr_cc_0.05_nclients_100_maxiter_100.csv,100,0.0,0.0
0.05,fixed,10,100,0,0,Nash_Counts_fedlr_cc_0.05_nclients_10_maxiter_100.csv,100,0.0,0.0
0.05,fixed,50,100,0,0,Nash_Counts_fedlr_cc_0.05_nclients_50_maxiter_100.csv,100,0.0,0.0
0.05,fixed,40,100,0,0,Nash_Counts_fedlr_cc_0.05_nclients_40_maxiter_100.csv,100,0.0,0.0
0.08,fixed,10,100,0,0,Nash_Counts_fedlr_cc_0.08_nclients_10_maxiter_100.csv,100,0.0,0.0
0.08,fixed,50,100,0,0,Nash_Counts_fedlr_cc_0.08_nclients_50_maxiter_100.csv,100,0.0,0.0
0.08,fixed,100,100,0,0,Nash_Counts_fedlr_cc_0.08_nclients_100_maxiter_100.csv,100,0.0,0.0
0.08,fixed,40,100,0,0,Nash_Counts_fedlr_cc_0.08_nclients_40_maxiter_100.csv,100,0.0,0.0
0.08,fixed,30,100,0,0,Nash_Counts_fedlr_cc_0.08_nclients_30_maxiter_100.csv,100,0.0,0.0
0.08,fixed,80,100,0,0,Nash_Counts_fedlr_cc_0.08_nclients_80_maxiter_100.csv,100,0.0,0.0
0.08,fixed,70,100,0,0,Nash_Counts_fedlr_cc_0.08_nclients_70_maxiter_100.csv,100,0.0,0.0
0.08,fixed,20,100,0,0,Nash_Counts_fedlr_cc_0.08_nclients_20_maxiter_100.csv,100,0.0,0.0
0.08,fixed,90,100,0,0,Nash_Counts_fedlr_cc_0.08_nclients_90_maxiter_100.csv,100,0.0,0.0
0.08,fixed,60,100,0,0,Nash_Counts_fedlr_cc_0.08_nclients_60_maxiter_100.csv,100,0.0,0.0
0.1,fixed,60,100,0,0,Nash_Counts_fedlr_cc_0.1_nclients_60_maxiter_100.csv,100,0.0,0.0
0.1,fixed,20,100,0,0,Nash_Counts_fedlr_cc_0.1_nclients_20_maxiter_100.csv,100,0.0,0.0
0.1,fixed,90,100,0,0,Nash_Counts_fedlr_cc_0.1_nclients_90_maxiter_100.csv,100,0.0,0.0
0.1,fixed,70,100,0,0,Nash_Counts_fedlr_cc_0.1_nclients_70_maxiter_100.csv,100,0.0,0.0
0.1,fixed,30,100,0,0,Nash_Counts_fedlr_cc_0.1_nclients_30_maxiter_100.csv,100,0.0,0.0
0.1,fixed,100,100,0,0,Nash_Counts_fedlr_cc_0.1_nclients_100_maxiter_100.csv,100,0.0,0.0
0.1,fixed,80,100,0,0,Nash_Counts_fedlr_cc_0.1_nclients_80_maxiter_100.csv,100,0.0,0.0
0.1,fixed,40,100,0,0,Nash_Counts_fedlr_cc_0.1_nclients_40_maxiter_100.csv,100,0.0,0.0
0.1,fixed,50,100,0,0,Nash_Counts_fedlr_cc_0.1_nclients_50_maxiter_100.csv,100,0.0,0.0
